1A         | I. NAKİT DEĞERLER VE MERKEZ BANKASI                     | I. CASH AND BALANCES WITH THE CENTRAL BANK OF TURKEY | v1=501656898000
3CPA       | 19.1 Satış Amaçlı Elde Tutulan Duran Varlık Giderleri   | 19.1 Property And Equipment Expense Held For Sale | v1=0
3CPB       | 19.2 İştirak, Bağlı Ortaklık ve Bir. Satış Zararları    |                                               | v1=0
3CPC       | 19.3 Diğer Durdurulan Faaliyet Giderleri                | 19.3 Other Expenses From Terminated Operations | v1=0
3CR        | XX. DURDURULAN FAALİYETLER VERGİ ÖNCESİ K/Z (XVIII-XIX) | XX. PROFIT/LOSS BEFORE TAXES FROM TERMINATED OPERATIONS (XVIII-XIX) | v1=0
3CS        | XXI. DURDURULAN FAALİYETLER VERGİ KARŞILIĞI (±)         | XXI. PROVISION FOR TAXES ON INCOME FROM TERMINATED OPERATIONS (±) | v1=0
3CSA       | 21.1 Cari Vergi Karşılığı                               | 21.1 Current Tax Provision                    | v1=0
3CSB       | 21.2 Ertelenmiş Vergi Karşılığı                         | 21.2 Deferred Tax Provision                   | v1=0
3CT        | XXII. DURDURULAN FAALİYETLER DÖNEM NET K/Z (XX±XXI)     | XXII. NET PROFIT/LOSS FROM TERMINATED OPERATIONS (XX±XXI) | v1=0
3D         | DİĞER KAR/ZARAR                                         | OTHER PROFIT/LOSS                             | v1=0
3Z         | XXIII. NET DÖNEM KARI/ZARARI (XVII+XXII)                | XXIII. NET PROFIT/LOSSES (XVII+XXII)          | v1=19178575000
3ZA        | 23.1 Grubun Karı/Zararı                                 | 23.1. Group's Profit/Losses                   | v1=19178575000
3ZB        | 23.2 Azınlık Hakları Karı/Zararı (-)                    | 23.2. Minority Shares' Profits/Losses         | v1=0
3ZC        | Hisse Başına Kar/Zarar                                  | Earnings/Losses Per Share                     | v1=0
